Module,Feature,User Story,Acceptance Criteria / Expected Behaviour,Data Elements for Listing / Form,Engineer ,Engineer timeline due date,business timeline Due date,Validator,Result - fail or pass,fail comments,QA RETESTING RESULT,PM Validation,DEMO VALIDATION
User Activity Log,Filter Activity Logs,"As an administrator, I want to filter logs by module, user type, or date so that I can analyze specific activities.","The system provides filters for module name, user type, action type, and date range.","Module Name, User Type, Action Type, Start Date, End Date",Awesome ,,8th April,Awesome,,User Activity Log module has not been created yet.,,,
User Activity Log,View Activity Details,"As a system auditor, I want to view detailed information about a user activity so that I can investigate system events.",Clicking a log entry displays detailed activity information including before and after values (where applicable).,"User ID, User Name, Module, Action, Before Value, After Value, Timestamp",Awesome ,,8th April,Awesome,,User Activity Log module has not been created yet.,,,
User Activity Log,Track Login Activities,"As a security administrator, I want to monitor login attempts so that I can detect unauthorized access attempts.",The system logs successful and failed login attempts for both admin and customers.,"User Name, Login Status, Timestamp, IP Address, Device Type",Awesome ,,8th April,Awesome,,User Activity Log module has not been created yet.,,,
User Activity Log,Export Activity Logs,"As a compliance officer, I want to export activity logs so that they can be used for audits or investigations.",The system allows exporting logs in Excel or CSV format based on selected filters.,"Export Format, Date Range, Module, Total Records",Awesome ,,8th April,Awesome,,User Activity Log module has not been created yet.,,,
User Activity Log,Pagination for Activity Logs,"As a system admin, I want to navigate through pages of activity logs so that I can efficiently review large volumes of records.",The system provides pagination controls and record-per-page selection.,"Page Number, Records Per Page",Awesome ,,8th April,Awesome,,User Activity Log module has not been created yet.,,,
,,,,,,,,,,,,,
Approval Management,View Approval Dashboard,"As an approver, I want to view pending approval requests so that I can quickly identify actions requiring my authorization.","The system displays a dashboard summarizing pending, approved, and rejected requests across all modules.","Total Pending Requests, Approved Requests, Rejected Requests, Module Name, Date Range",Kelvin ,"18th May, 2026",6th April,Tolu,,Not yet implemented ,,,
Approval Management,View Pending Approvals,"As an approver, I want to view all pending requests so that I can review and take action on them.",The system displays a centralized list of all requests awaiting approval from different modules.,"Request ID, Module Name, Request Type, Initiator Name, Request Date, Status",Kelvin ,"18th May, 2026",6th April,Tolu,,Not yet implemented ,,,
Approval Management,Review Approval Request,"As an approver, I want to review the details of a request so that I can make an informed decision.",Selecting a request opens a detailed view showing the original request data and any modifications made.,"Request ID, Module, Initiator, Request Details, Submitted Date",Kelvin ,"18th May, 2026",6th April,Tolu,,Not yet implemented ,,,
Approval Management,Approve Request,"As an approver, I want to approve valid requests so that system actions can proceed.","When the approver clicks Approve, the request status changes to Approved, and the action is executed in the respective module.","Decision (Approve), Approval Remarks, Approver Name, Approval Timestamp",Kelvin ,"18th May, 2026",6th April,Tolu,,Not yet implemented ,,,
Approval Management,Reject Request,"As an approver, I want to reject invalid or incorrect requests so that incorrect system actions are prevented.","When Reject is selected, the request is marked Rejected and returned to the initiator with remarks.","Decision (Reject), Rejection Reason, Approver Name, Rejection Timestamp",Kelvin ,"18th May, 2026",6th April,Tolu,,Not yet implemented ,,,
Approval Management,View Approval History,"As an admin, I want to view approval history so that I can track past approval decisions.",The system stores and displays historical records of approved and rejected requests.,"Request ID, Module, Initiator, Decision, Approver Name, Decision Date",Kelvin ,"18th May, 2026",6th April,Tolu,,Not yet implemented ,,,
Approval Management,Search Approval Requests,"As an approver, I want to search approval requests so that I can quickly locate specific requests.","System allows searching by request ID, module name, or initiator.","Request ID, Module Name, Initiator Name",Kelvin ,"18th May, 2026",6th April,Tolu,,Not yet implemented ,,,
Approval Management,Filter Approval Requests,"As an approver, I want to filter requests by module or status so that I can focus on relevant approvals.","System provides filters for module name, request type, status, and date range.","Module Name, Request Status, Start Date, End Date",Kelvin ,"18th May, 2026",6th April,Tolu,,Not yet implemented ,,,
Approval Management,View Request Details,"As an approver, I want to see before-and-after values for modified data so that I can verify the requested changes.",System displays old values and new values for any modified fields.,"Field Name, Old Value, New Value, Requested Change",Kelvin ,"18th May, 2026",6th April,Tolu,,Not yet implemented ,,,
Approval Management,Export Approval Logs,"As a compliance officer, I want to export approval records so that they can be used for audit or reporting purposes.",System allows exporting approval logs in Excel or CSV format.,"Export Format, Date Range, Total Requests",Kelvin ,"18th May, 2026",6th April,Tolu,,Not yet implemented ,,,
,,,,,,,,,,,,,
Treasury ,Treasury Dashboard,"As a treasury officer, I want to view the treasury dashboard so that I can monitor the bank’s liquidity and financial positions.","The system displays total liquidity, cash balances, interbank positions, and treasury transactions.","Total Liquidity, Cash Position, Interbank Balance, Date",Kelvin ,"29th May, 2026",6th April,Tolu,,Not yet implemented ,,,
Treasury ,View Treasury Accounts,"As a treasury officer, I want to view all treasury accounts so that I can monitor balances across settlement and liquidity accounts.",The system displays a list of all treasury accounts with their current balances and status.,"Account Name, Account Number, Currency, Available Balance, Status",Kelvin ,"29th May, 2026",6th April,Tolu,,Not yet implemented ,,,
Treasury ,Manage Liquidity Transfers,"As a treasury officer, I want to transfer funds between treasury accounts so that liquidity can be balanced across the bank.",The system allows internal transfers between treasury accounts. Transactions must follow the maker-checker approval process.,"Transfer Reference, Source Account, Destination Account, Amount, Value Date",Kelvin ,"29th May, 2026",6th April,Tolu,,Not yet implemented ,,,
Treasury ,Interbank Transfers,"As a treasury officer, I want to perform interbank transfers so that funds can be moved between financial institutions.",The system records and processes interbank transfer requests subject to approval.,"Transfer Reference, Sending Bank, Receiving Bank, Amount, Currency, Transaction Date",Kelvin ,"29th May, 2026",6th April,Tolu,,Not yet implemented ,,,
Treasury ,Cash Position Monitoring,"As a treasury officer, I want to monitor daily cash positions so that I can manage liquidity risk.","The system displays opening balance, inflows, outflows, and closing balance for treasury accounts.","Opening Balance, Total Inflows, Total Outflows, Closing Balance, Date",Kelvin ,"29th May, 2026",6th April,Tolu,,Not yet implemented ,,,
Treasury ,Treasury Transaction History,"As a treasury officer, I want to view past treasury transactions so that I can track financial movements.",The system displays a transaction history list with filters and search functionality.,"Transaction Reference, Transaction Type, Amount, Account, Date, Status",Kelvin ,"29th May, 2026",6th April,Tolu,,Not yet implemented ,,,
Treasury ,Treasury Transaction Approval,"As a treasury approver, I want to approve treasury transactions so that high-value transfers are properly authorized.",Treasury transactions initiated by a maker must be approved by a checker before execution.,"Request ID, Initiator, Transaction Type, Amount, Approval Status",Kelvin ,"29th May, 2026",6th April,Tolu,,Not yet implemented ,,,
Treasury ,Treasury Limits Configuration,"As a treasury admin, I want to configure transaction limits so that treasury operations stay within defined risk thresholds.","Admin can define daily transfer limits, approval thresholds, and transaction caps.","Limit Type, Maximum Amount, Currency, Effective Date",Kelvin ,"29th May, 2026",6th April,Tolu,,Not yet implemented ,,,
Treasury ,Treasury Reporting,"As a treasury officer, I want to generate treasury reports so that management can review liquidity and financial performance.",The system allows generating treasury reports with filters and exporting them in Excel or CSV.,"Report Type, Date Range, Total Transactions, Total Amount",Kelvin ,"29th May, 2026",6th April,Tolu,,Not yet implemented ,,,
Treasury ,Export Treasury Transactions,"As a treasury officer, I want to export treasury transaction data so that it can be shared with finance or auditors.",The system allows exporting filtered treasury transaction records.,"Export Format (Excel/CSV), Date Range, Total Records",Kelvin ,"29th May, 2026",6th April,Tolu,,Not yet implemented ,,,
Treasury ,Search Treasury Transactions,"As a treasury officer, I want to search treasury transactions so that I can quickly locate specific records.","The system allows searching using transaction reference, account number, or transaction type.","Transaction Reference, Account Number, Transaction Type",Kelvin ,"29th May, 2026",6th April,Tolu,,Not yet implemented ,,,
Treasury ,View Treasury Transaction Details,"As a treasury officer, I want to view detailed transaction information so that I can review the full context of treasury operations.",Clicking a record opens detailed transaction information including approvals and timestamps.,"Transaction Reference, Initiator, Amount, Currency, Approval Status, Timestamp",Kelvin ,"29th May, 2026",6th April,Tolu,,Not yet implemented ,,,
,,,,,,,,,,,,,
B2B Products,View B2B Products,"As an admin, I want to view all B2B products so that I can manage services available to businesses.","System displays a centralized list of all products with summary statistics (Total, Active, Inactive).","Product Name, Product Code, Description, Status, Created Date",Awesome,30th March,23rd March,Awesome,,Include a column for Created Date for products,,,
B2B Products,Product Statistics,"As an admin, I want to view the total number of products and their status so that I can quickly understand product availability.",System displays product summary metrics at the top of the page.,"Total Products, Active Products, Inactive Products",Awesome,,23rd March,Awesome,,,,,
B2B Products,Create Product,"As an admin, I want to create new B2B products so that the bank can introduce new services to business customers.",Admin fills a product creation form and saves it. Product becomes Active immediately since no maker-checker is required.,"Product Name, Product Code, Description, Status",Awesome,,23rd March,Awesome,,,,,
B2B Products,Edit Product,"As an admin, I want to edit existing product details so that product information can be updated when needed.",Admin selects Edit from the product actions menu. System loads existing product data for modification and saves changes instantly.,"Product Name, Product Code, Description, Status",Awesome,,23rd March,Awesome,,,,,
B2B Products,Activate / Deactivate Product,"As an admin, I want to enable or disable a product so that I can control whether the service is available to users.",Admin toggles the Active switch to activate or deactivate the product immediately.,"Product Name, Current Status, Updated Date",Awesome,,23rd March,Awesome,,,,,
B2B Products,Manage Product Pricing,"As an admin, I want to configure pricing for each product so that the correct transaction fees or commissions are applied.",Admin can define fee structures for products such as fixed fees or percentage charges. Changes are saved and applied immediately.,"Product Name, Pricing Type (Fixed/Percentage), Fee Amount, Currency, Effective Date",Awesome,,23rd March,Awesome,,,,,
B2B Products,View Product Transactions,"As an admin, I want to view transactions related to a product so that I can monitor product usage and activity.",Selecting View Transactions displays all transactions associated with the selected product with search and filters.,"Transaction ID, Product Name, Customer ID, Transaction Amount, Transaction Date, Status",Awesome,30th March,23rd March,Awesome,,"This has been implemented, but there are no transactions reflecting for any product so it's a partial pass.",,,
B2B Products,Delete Product,"As an admin, I want to delete unused products so that obsolete products can be removed from the system.",Admin can delete products that have no active dependencies. System requires confirmation before deletion.,"Product Name, Product Code, Deleted By, Deletion Date",Awesome,30th March,23rd March,Awesome,,"The request goes through, but the product is not deleted from the system.",,,
B2B Products,Search Products,"As an admin, I want to search products so that I can quickly find a specific product.",System allows searching using product name or product code.,"Product Name, Product Code",Awesome,30th March,23rd March,Awesome,,"The search function does not search the entire system for products matching the product name, it only searches the current page. This gives a false representation of the products. Also, admin cannot search by product code.",,,
B2B Products,Pagination for Product List,"As an admin, I want to navigate through product pages so that I can view large product lists efficiently.",System displays page navigation controls and record count.,"Page Number, Records Per Page",Awesome,,23rd March,Awesome,,,,,
B2B Products,View Product Details,"As an admin, I want to view detailed information about a product so that I can review configuration and pricing.",Clicking a product displays full product information and pricing configuration.,"Product Name, Product Code, Description, Pricing Details, Status",Awesome,30th March,23rd March,Awesome,,There is no page to view the full details about a product in a single page.,,,
B2B Registered Merchant,View Registered Merchants,"As an admin, I want to view all registered merchants so that I can monitor business accounts on the platform.","System displays list of registered businesses. Admin can search, filter, and export merchant records.","Company Name, Account Holder, Phone Number, Email, Status, Client ID",Awesome,,23rd March,Awesome,,,,,
B2B Registered Merchant,Export Merchant Data,"As an admin, I want to export merchant records so that I can analyze merchant data offline.",Admin can export merchant records as Excel or PDF.,Export File,Awesome,,23rd March,Awesome,,,,,
B2B Registered Merchant,Onboard New Business,"As an admin, I want to onboard a new business merchant so that the merchant can start using B2B services.","Admin clicks Onboard New Business, selects merchant, fills company details, adds IP whitelist, and submits the form.","Merchant Name, Company Name, Email, Phone, Address, Waya Account Number, Merchant ID, Webhook URL",Awesome,,23rd March,Awesome,,,,,
B2B Registered Merchant,Add IP Whitelist,"As an admin, I want to whitelist merchant IP addresses so that only trusted systems can access the merchant API.",Admin can add multiple IP addresses. System validates format and allows removal before submission.,IP Address,Awesome,30th March,23rd March,Awesome,,The format of IP addresses are not being validated.,,,
B2B Registered Merchant,Merchant Profile Dashboard,"As an admin, I want to view a merchant profile dashboard so that I can monitor merchant status and configuration.","Dashboard displays merchant metrics including subscribed products, merchant status, whitelisted IPs, team members, and bulk transfer limit.","Merchant Name, Email, Subscribed Products, Merchant Status, Whitelisted IPs, Team Members, Bulk Transfer Limit",Awesome,,23rd March,Awesome,,,,,
B2B Registered Merchant,View Business Information,"As an admin, I want to view merchant business information so that I can verify company details.",System displays merchant business details in the Business Information section.,"Business Name, Waya Account Number, Business Email, Business Phone, Address, Account Holder Name, Date Created",Awesome,,23rd March,Awesome,,,,,
B2B Registered Merchant,Manage Team Members,"As an admin, I want to manage B2B merchant team members so that merchants can assign roles to their staff.",Admin can add team members to merchant profile. Each member has role and status.,"Name, Email, Role, Status",Awesome,30th March,23rd March,Awesome,,The page has been built but it is not functional yet.,,,
B2B Registered Merchant,Add Team Member,"As an admin, I want to add a team member to a merchant account so that multiple users can access the merchant portal.","Admin clicks Add Member, enters user details, and assigns role.","Name, Email, Role",Awesome,30th March,23rd March,Awesome,,The page has been built but it is not functional yet.,,,
B2B Registered Merchant,Manage API Keys,"As an admin, I want to manage merchant API keys so that merchants can integrate with the platform securely.","Admin can generate, view, and revoke API keys linked to the merchant account.","API Key, Status, Created Date",Awesome,30th March,23rd March,Awesome,,"Admins can generate and regenerate API keys for merchants, but they can't revoke an existing key. ",,,
B2B Registered Merchant,Manage IP Addresses,"As an admin, I want to view and manage whitelisted IP addresses so that merchant integrations remain secure.",System displays all IP addresses linked to the merchant. Admin can add or remove IP addresses.,"IP Address, Created Date",Awesome,30th March,23rd March,Awesome,,"There is no indication of ""Created Date"" for IP Addresses",,,
B2B Registered Merchant,Merchant Product Subscription,"As an admin, I want to view merchant subscribed products so that I know which services the merchant uses.",System displays list of products enabled for the merchant account.,"Product Name, Status",Awesome,,23rd March,Awesome,,,,,
,,,,,,,,,,,,,
Fixed Asset,View Asset Dashboard,"As a finance admin, I want to view a summary of fixed assets so that I can monitor the total assets owned by the organization.","System displays summary statistics such as total assets, asset value, and number of asset types.","Total Assets, Total Asset Value, Asset Types, Last Updated Date",Awesome ,,10th April,Awesome,,The Fixed Asset module has not been created on the admin dashboard yet.,,,
Fixed Asset,View Fixed Asset Types,"As a finance admin, I want to view all fixed asset types so that assets can be categorized properly.","System displays a list of asset categories such as Vehicles, IT Equipment, Furniture, etc.","Asset Type Name, Description, Created Date",Awesome ,,10th April,Awesome,,The Fixed Asset module has not been created on the admin dashboard yet.,,,
Fixed Asset,Create Asset Type,"As a finance admin, I want to create asset types so that assets can be grouped into categories.",Admin fills the asset type form and saves it. The new type becomes available for asset creation.,"Asset Type Name, Description",Awesome ,,10th April,Awesome,,The Fixed Asset module has not been created on the admin dashboard yet.,,,
Fixed Asset,Edit Asset Type,"As a finance admin, I want to edit asset types so that category details can be updated.","Admin selects Edit, updates details, and saves changes immediately.","Asset Type Name, Description",Awesome ,,10th April,Awesome,,The Fixed Asset module has not been created on the admin dashboard yet.,,,
Fixed Asset,Delete Asset Type,"As a finance admin, I want to delete unused asset types so that obsolete categories are removed.",System allows deletion only if no assets are currently assigned to the asset type.,"Asset Type Name, Deleted By, Deletion Date",Awesome ,,10th April,Awesome,,The Fixed Asset module has not been created on the admin dashboard yet.,,,
Fixed Asset,Search Asset Types,"As a finance admin, I want to search asset types so that I can quickly find specific categories.",System allows searching by asset type name.,Asset Type Name,Awesome ,,10th April,Awesome,,The Fixed Asset module has not been created on the admin dashboard yet.,,,
Fixed Asset,View Fixed Assets,"As a finance admin, I want to view all fixed assets so that I can monitor organizational assets.","System displays a list of all assets with details such as asset type, value, and location.","Asset Name, Asset Type, Purchase Value, Purchase Date, Location, Status",Awesome ,,10th April,Awesome,,The Fixed Asset module has not been created on the admin dashboard yet.,,,
Fixed Asset,Register Fixed Asset,"As a finance admin, I want to register new assets so that newly acquired assets are recorded in the system.",Admin fills an asset registration form and saves the asset record.,"Asset Name, Asset Type, Serial Number, Purchase Value, Purchase Date, Location",Awesome ,,10th April,Awesome,,The Fixed Asset module has not been created on the admin dashboard yet.,,,
Fixed Asset,Edit Fixed Asset,"As a finance admin, I want to edit asset details so that asset information remains accurate.","Admin selects Edit, modifies asset details, and saves the update.","Asset Name, Asset Type, Purchase Value, Location, Status",Awesome ,,10th April,Awesome,,The Fixed Asset module has not been created on the admin dashboard yet.,,,
Fixed Asset,Asset Depreciation Tracking,"As a finance admin, I want to track asset depreciation so that the current value of assets can be calculated.",System automatically calculates depreciation based on configured depreciation method.,"Asset Value, Depreciation Rate, Current Value, Depreciation Method",Awesome ,,10th April,Awesome,,The Fixed Asset module has not been created on the admin dashboard yet.,,,
Fixed Asset,Dispose Asset,"As a finance admin, I want to mark assets as disposed so that retired or sold assets are removed from active inventory.","Admin can mark an asset as Disposed, recording disposal date and value.","Asset Name, Disposal Date, Disposal Value, Status",Awesome ,,10th April,Awesome,,The Fixed Asset module has not been created on the admin dashboard yet.,,,
Fixed Asset,View Asset Details,"As a finance admin, I want to view detailed asset information so that I can review full asset records.",Clicking an asset displays full asset details including purchase information and depreciation records.,"Asset Name, Asset Type, Purchase Value, Depreciation Value, Current Value",Awesome ,,10th April,Awesome,,The Fixed Asset module has not been created on the admin dashboard yet.,,,
Fixed Asset,Search Fixed Assets,"As a finance admin, I want to search assets so that I can quickly find specific assets.","System allows searching by asset name, serial number, or asset type.","Asset Name, Serial Number, Asset Type",Awesome ,,10th April,Awesome,,The Fixed Asset module has not been created on the admin dashboard yet.,,,
Fixed Asset,Export Asset List,"As a finance admin, I want to export the asset list so that asset records can be shared for financial reporting.",System allows exporting the asset list in Excel or CSV format.,"Export Format, Date Range, Total Assets",Awesome ,,10th April,Awesome,,The Fixed Asset module has not been created on the admin dashboard yet.,,,
,,,,,,,,,,,,,
Cash and Teller,Teller Dashboard,"As a teller, I want to view my cash summary so that I can track my daily transactions and balances.","System displays teller cash position including opening balance, deposits, withdrawals, and closing balance.","Teller Name, Opening Balance, Total Deposits, Total Withdrawals, Closing Balance",Kelvin,"8th June, 2026",8th April,Kelvin,,,,,
Cash and Teller,Process Withdrawal,"As a teller, I want to process customer withdrawals so that customers can withdraw cash from their accounts.",Teller enters account details and withdrawal amount. System validates account balance before processing transaction.,"Account Number, Customer Name, Withdrawal Amount, Transaction Date, Teller ID",Kelvin,"8th June, 2026",8th April,Kelvin,,,,,
Cash and Teller,View Withdrawal Transactions,"As a teller, I want to view withdrawal history so that I can track previous transactions.",System displays a list of withdrawal transactions with search and filters.,"Transaction ID, Account Number, Amount, Date, Status",Kelvin,"8th June, 2026",8th April,Kelvin,,,,,
Cash and Teller,Reverse Withdrawal,"As an admin, I want to reverse incorrect withdrawals so that errors can be corrected.",Admin selects the transaction and performs reversal after confirmation.,"Transaction ID, Reversal Reason, Reversal Date",Kelvin,"8th June, 2026",8th April,Kelvin,,,,,
Cash and Teller,Process Deposit,"As a teller, I want to process deposits so that customers can deposit funds into their accounts.",Teller enters deposit details and confirms transaction. System credits the customer account instantly.,"Account Number, Customer Name, Deposit Amount, Payment Method, Transaction Date",Kelvin,"8th June, 2026",8th April,Kelvin,,,,,
Cash and Teller,View Deposit Transactions,"As a teller, I want to view deposit history so that I can track completed deposits.",System displays deposit transactions with search and filters.,"Transaction ID, Account Number, Amount, Date, Status",Kelvin,"8th June, 2026",8th April,Kelvin,,,,,
Cash and Teller,Deposit Receipt,"As a teller, I want to generate deposit receipts so that customers have proof of their transaction.",System generates printable receipt after deposit completion.,"Transaction ID, Account Number, Amount, Date",Kelvin,"8th June, 2026",8th April,Kelvin,,,,,
Cash and Teller,Create Teller Profile,"As an admin, I want to create teller profiles so that staff can perform teller operations.",Admin creates teller accounts and assigns them to branches and tills.,"Teller Name, Employee ID, Branch, Assigned Till",Kelvin,"8th June, 2026",8th April,Kelvin,,,,,
Cash and Teller,View Tellers,"As an admin, I want to view all tellers so that I can manage teller accounts.",System displays a list of all tellers with their status and assigned tills.,"Teller Name, Branch, Till ID, Status",Kelvin,"8th June, 2026",8th April,Kelvin,,,,,
Cash and Teller,Activate / Deactivate Teller,"As an admin, I want to activate or deactivate teller accounts so that system access can be controlled.",Admin toggles teller status. Changes apply immediately.,"Teller Name, Status, Updated Date",Kelvin,"8th June, 2026",8th April,Kelvin,,,,,
Cash and Teller,Open Till,"As a teller, I want to open my till so that I can begin daily transactions.",Teller records opening cash balance before starting transactions.,"Teller Name, Till ID, Opening Balance, Opening Time",Kelvin,"8th June, 2026",8th April,Kelvin,,,,,
Cash and Teller,Close Till,"As a teller, I want to close my till so that the system reconciles daily transactions.",System calculates expected balance based on deposits and withdrawals.,"Till ID, Closing Balance, Closing Time",Kelvin,"8th June, 2026",8th April,Kelvin,,,,,
Cash and Teller,View Till Transactions,"As an admin, I want to view all till transactions so that I can monitor teller activities.",System displays all transactions performed through a specific till.,"Till ID, Transaction ID, Amount, Transaction Type, Date",Kelvin,"8th June, 2026",8th April,Kelvin,,,,,
Cash and Teller,View Vault Balance,"As a vault officer, I want to view vault balances so that I can track branch cash reserves.",System displays current vault balance and transaction history.,"Vault ID, Current Balance, Last Updated",Kelvin,"8th June, 2026",8th April,Kelvin,,,,,
Cash and Teller,Transfer Cash to Till,"As a vault officer, I want to transfer cash from the vault to teller tills so that tellers have enough funds for transactions.",Vault officer initiates transfer to teller till. Transaction is recorded in the system.,"Transfer ID, Vault ID, Till ID, Amount, Date",Kelvin,"12th June, 2026",8th April,Kelvin,,,,,
Cash and Teller,Receive Cash from Till,"As a vault officer, I want to receive excess cash from tills so that branch vault balances are maintained.",Teller transfers excess cash back to vault. System updates vault balance.,"Transfer ID, Till ID, Vault ID, Amount, Date",Kelvin,"12th June, 2026",8th April,Kelvin,,,,,
Cash and Teller,Record Cash Shortage,"As an admin, I want to record cash shortages so that discrepancies in teller balances are documented.",System records shortage amount and links it to teller reconciliation records.,"Teller Name, Till ID, Shortage Amount, Date, Reason",Kelvin,"12th June, 2026",8th April,Kelvin,,,,,
Cash and Teller,Record Cash Overage,"As an admin, I want to record cash overages so that excess cash can be documented.",System records overage amount during reconciliation.,"Teller Name, Till ID, Overage Amount, Date",Kelvin,"12th June, 2026",8th April,Kelvin,,,,,
Cash and Teller,Reconciliation Report,"As an admin, I want to view reconciliation reports so that teller discrepancies can be investigated.",System generates reports showing expected vs actual cash balances.,"Teller Name, Till ID, Expected Balance, Actual Balance, Difference",Kelvin,"12th June, 2026",8th April,Kelvin,,,,,
Cash and Teller,Export Reconciliation Report,"As an admin, I want to export reconciliation reports so that they can be shared with auditors.",System allows exporting reconciliation data in Excel or CSV format.,"Date Range, Teller Name, Total Discrepancy",Kelvin,"12th June, 2026",8th April,Kelvin,,,,,
,,,,,,,,,,,,,
Manage Card,Card Dashboard,"As an admin, I want to view card statistics so that I can monitor issued and active cards.","System displays summary metrics such as total cards issued, active cards, blocked cards, and pending activations.","Total Cards, Active Cards, Blocked Cards, Pending Activation",Awesome ,17th April,12th April,Chioma,,Not yet implemented ,,,
Manage Card,View Cards,"As an admin, I want to view all cards so that I can monitor card issuance and status.","System displays a list of cards including their status such as Pending, Approved, Cancelled, Rejected, and Failed.","Card PAN (Masked), Card Type, Product Type, Expiry Date, Status",Awesome ,,12th April,Chioma,,,,,
Manage Card,Create Card for User,"As an admin, I want to create a card on behalf of a user so that users can receive cards without initiating the request themselves.",Admin selects a user and creates a card request which enters the card processing workflow.,"User ID, Customer Name, Card Product Type, Card Type, Delivery Address",Awesome ,17th April,12th April,Chioma,,"Error displayed""Failed with some errors""",,,
Manage Card,Set Card Product Type,"As an admin, I want to set the card product type so that the correct card category is assigned.",Admin selects the card product type during card creation.,"Product Type (e.g. Debit, Prepaid, Virtual), Card Scheme",Awesome ,,12th April,Chioma,,,,,
Manage Card,Set Card Type,"As an admin, I want to define the card type so that the card can be issued according to the selected category.",Admin chooses the card type when creating the card.,Card Type (Virtual / Physical),Awesome ,,12th April,Chioma,,,,,
Manage Card,Configure Delivery Fees,"As an admin, I want to set delivery fees for cards so that users are charged correctly for card delivery.",Admin configures delivery fee and the fee is applied when card requests are created.,"Delivery Fee Amount, Currency",Awesome ,,12th April,Chioma,,,,,
Manage Card,Filter Cards,"As an admin, I want to filter cards so that I can quickly find cards based on status or card type.","System provides filters for card status, card type, product type, and date range.","Card Status, Product Type, Card Type",Awesome ,,12th April,Chioma,,,,,
Manage Card,Export Cards,"As an admin, I want to export card records so that I can share reports or perform analysis.",System allows exporting card data in Excel or CSV format.,"Export Format, Date Range",Awesome ,,12th April,Chioma,,,,,
Manage Card,Bulk Card Dashboard,"As an admin, I want to view bulk card statistics so that I can track card generation and assignment.","System displays summary metrics including total bulk cards, total assigned cards, total exported cards, and total pending cards.","Total Bulk Cards, Total Assigned Cards, Total Exported Cards, Total Pending Cards",Awesome ,,12th April,Chioma,,,,,
Manage Card,View Bulk Cards,"As an admin, I want to view all bulk cards so that I can track card inventory.",System displays a list of all cards generated in bulk batches.,"Card PAN, Card Type, Product Type, Expiry Date",Awesome ,,12th April,Chioma,,,,,
Manage Card,Generate Bulk Cards,"As an admin, I want to generate bulk cards so that multiple cards can be created simultaneously.",Admin generates bulk cards and the generation report is automatically sent to the WayaPayChat email.,"Batch ID, Total Cards Generated, Generation Date",Awesome ,,12th April,Chioma,,,,,
Manage Card,Approve Bulk Cards,"As an admin, I want to approve generated bulk cards so that they become available for assignment.",Bulk card batches must be approved before they can be assigned to users or marketers.,"Batch ID, Total Cards, Approval Status",Awesome ,,12th April,Chioma,,,,,
Manage Card,Export Bulk Cards,"As an admin, I want to export bulk card information so that card details can be accessed externally.",Admin exports bulk card data and the exported file is sent to the WayaPayChat email.,"Batch ID, Export Date, Total Cards",Awesome ,,12th April,Chioma,,,,,
Manage Card,Field Marketer Dashboard,"As an admin, I want to view field marketer statistics so that I can track marketer activity.",System displays the total number of active and inactive field marketers.,"Total Active Marketers, Total Inactive Marketers",Awesome ,,12th April,Chioma,,,,,
Manage Card,Create Field Marketer,"As an admin, I want to create field marketer accounts so that they can distribute cards.",Only an admin can create accounts for field marketers.,"Name, Email, Phone Number, Assigned Region",Awesome ,,12th April,Chioma,,,,,
Manage Card,View Field Marketers,"As an admin, I want to view all field marketers so that I can manage their information.",System displays a table listing all field marketers and their details.,"Name, Phone Number, Cards Assigned, Status",Awesome ,,12th April,Chioma,,,,,
Manage Card,Search Field Marketer,"As an admin, I want to search field marketers so that I can quickly locate a marketer.","System allows searching by User ID, Email, or Name.","User ID, Email, Name",Awesome ,17th April,12th April,Chioma,,It's not bringing up the searched  request,,,
Manage Card,Export Field Marketer List,"As an admin, I want to export field marketer records so that I can share marketer data.",Admin can export the marketer list in Excel or CSV format.,"Export Format, Date",Awesome ,,12th April,Chioma,,,,,
Manage Card,View Onboarded Users,"As an admin, I want to view users onboarded by field marketers so that I can track acquisition activities.",System displays the list of users onboarded by each marketer.,"Marketer Name, Customer Name, Onboarding Date",Awesome ,,12th April,Chioma,,,,,
Manage Card,Delete Field Marketer,"As an admin, I want to delete field marketer accounts so that inactive marketers can be removed.",Admin can delete marketer profiles after confirmation.,"Marketer Name, Deletion Date",Awesome ,17th April,12th April,Chioma,,"Error message displayed ""Access Denied""",,,
Manage Card,Deactivate Field Marketer,"As an admin, I want to deactivate marketers so that they cannot access the system when inactive.",Admin changes marketer status to inactive.,"Marketer Name, Status",Awesome ,17th April,12th April,Chioma,,It's not deactivating the field marketer even tho the button is clickable,,,
Manage Card,Update Marketer Information,"As an admin, I want to update marketer information so that their details remain accurate.",Admin edits marketer profile and saves the updated details.,"Name, Email, Phone Number",Awesome ,,12th April,Chioma,,,,,
Manage Card,Regenerate Password,"As an admin, I want to regenerate marketer passwords so that they can regain access to their accounts.",System generates a new password and sends it to the marketer's email.,"User ID, Email",Awesome ,,12th April,Chioma,,,,,
Manage Card,Resend OTP,"As an admin, I want to resend OTP so that marketers can complete account verification.",System sends a new OTP to the marketer’s registered contact details.,"User ID, Phone Number",Awesome ,,12th April,Chioma,,,,,
,,,,,,,,,,,,,
